Prov,Kab,Kec
11,11.01,11.01.01
11,11.01,11.01.02
11,11.01,11.01.03
11,11.01,11.01.04
11,11.01,11.01.05
11,11.01,11.01.06
11,11.01,11.01.07
11,11.01,11.01.08
11,11.01,11.01.09
11,11.01,11.01.10
11,11.01,11.01.11
11,11.01,11.01.12
11,11.01,11.01.13
11,11.01,11.01.14
11,11.01,11.01.15
11,11.01,11.01.16
11,11.01,11.01.17
11,11.01,11.01.18
11,11.02,11.02.01
11,11.02,11.02.02
11,11.02,11.02.03
11,11.02,11.02.04
11,11.02,11.02.05
11,11.02,11.02.06
11,11.02,11.02.07
11,11.02,11.02.08
11,11.02,11.02.09
11,11.02,11.02.10
11,11.02,11.02.11
11,11.02,11.02.12
11,11.02,11.02.13
11,11.02,11.02.14
11,11.02,11.02.15
11,11.02,11.02.16
11,11.03,11.03.01
11,11.03,11.03.02
11,11.03,11.03.03
11,11.03,11.03.04
11,11.03,11.03.05
11,11.03,11.03.06
11,11.03,11.03.07
11,11.03,11.03.08
11,11.03,11.03.09
11,11.03,11.03.10
11,11.03,11.03.11
11,11.03,11.03.12
11,11.03,11.03.13
11,11.03,11.03.14
11,11.03,11.03.15
11,11.03,11.03.16
11,11.03,11.03.17
11,11.03,11.03.18
11,11.03,11.03.19
11,11.03,11.03.20
11,11.03,11.03.21
11,11.03,11.03.22
11,11.03,11.03.23
11,11.03,11.03.24
11,11.04,11.04.01
11,11.04,11.04.02
11,11.04,11.04.03
11,11.04,11.04.07
11,11.04,11.04.08
11,11.04,11.04.10
11,11.04,11.04.11
11,11.04,11.04.12
11,11.04,11.04.13
11,11.04,11.04.17
11,11.04,11.04.18
11,11.04,11.04.19
11,11.04,11.04.20
11,11.04,11.04.21
11,11.05,11.05.01
11,11.05,11.05.02
11,11.05,11.05.03
11,11.05,11.05.04
11,11.05,11.05.05
11,11.05,11.05.06
11,11.05,11.05.07
11,11.05,11.05.08
11,11.05,11.05.09
11,11.05,11.05.10
11,11.05,11.05.11
11,11.05,11.05.12
11,11.06,11.06.01
11,11.06,11.06.02
11,11.06,11.06.03
11,11.06,11.06.04
11,11.06,11.06.05
11,11.06,11.06.06
11,11.06,11.06.07
11,11.06,11.06.08
11,11.06,11.06.09
11,11.06,11.06.10
11,11.06,11.06.11
11,11.06,11.06.12
11,11.06,11.06.13
11,11.06,11.06.14
11,11.06,11.06.15
11,11.06,11.06.16
11,11.06,11.06.17
11,11.06,11.06.18
11,11.06,11.06.19
11,11.06,11.06.20
11,11.06,11.06.21
11,11.06,11.06.22
11,11.06,11.06.23
11,11.07,11.07.03
11,11.07,11.07.04
11,11.07,11.07.05
11,11.07,11.07.06
11,11.07,11.07.07
11,11.07,11.07.08
11,11.07,11.07.09
11,11.07,11.07.11
11,11.07,11.07.12
11,11.07,11.07.13
11,11.07,11.07.14
11,11.07,11.07.15
11,11.07,11.07.16
11,11.07,11.07.17
11,11.07,11.07.18
11,11.07,11.07.19
11,11.07,11.07.21
11,11.07,11.07.22
11,11.07,11.07.24
11,11.07,11.07.25
11,11.07,11.07.27
11,11.07,11.07.29
11,11.07,11.07.31
11,11.08,11.08.01
11,11.08,11.08.02
11,11.08,11.08.03
11,11.08,11.08.04
11,11.08,11.08.05
11,11.08,11.08.06
11,11.08,11.08.07
11,11.08,11.08.08
11,11.08,11.08.09
11,11.08,11.08.10
11,11.08,11.08.11
11,11.08,11.08.12
11,11.08,11.08.13
11,11.08,11.08.14
11,11.08,11.08.15
11,11.08,11.08.16
11,11.08,11.08.17
11,11.08,11.08.18
11,11.08,11.08.19
11,11.08,11.08.20
11,11.08,11.08.21
11,11.08,11.08.22
11,11.08,11.08.23
11,11.08,11.08.24
11,11.08,11.08.25
11,11.08,11.08.26
11,11.08,11.08.27
11,11.09,11.09.01
11,11.09,11.09.02
11,11.09,11.09.03
11,11.09,11.09.04
11,11.09,11.09.05
11,11.09,11.09.06
11,11.09,11.09.07
11,11.09,11.09.08
11,11.09,11.09.09
11,11.09,11.09.10
11,11.10,11.10.01
11,11.10,11.10.02
11,11.10,11.10.04
11,11.10,11.10.06
11,11.10,11.10.09
11,11.10,11.10.10
11,11.10,11.10.11
11,11.10,11.10.12
11,11.10,11.10.13
11,11.10,11.10.14
11,11.10,11.10.16
11,11.11,11.11.01
11,11.11,11.11.02
11,11.11,11.11.03
11,11.11,11.11.04
11,11.11,11.11.05
11,11.11,11.11.06
11,11.11,11.11.07
11,11.11,11.11.08
11,11.11,11.11.09
11,11.11,11.11.10
11,11.11,11.11.11
11,11.11,11.11.12
11,11.11,11.11.13
11,11.11,11.11.14
11,11.11,11.11.15
11,11.11,11.11.16
11,11.11,11.11.17
11,11.12,11.12.01
11,11.12,11.12.02
11,11.12,11.12.03
11,11.12,11.12.04
11,11.12,11.12.05
11,11.12,11.12.06
11,11.12,11.12.07
11,11.12,11.12.08
11,11.12,11.12.09
11,11.13,11.13.01
11,11.13,11.13.02
11,11.13,11.13.03
11,11.13,11.13.04
11,11.13,11.13.05
11,11.13,11.13.06
11,11.13,11.13.07
11,11.13,11.13.08
11,11.13,11.13.09
11,11.13,11.13.10
11,11.13,11.13.11
11,11.14,11.14.01
11,11.14,11.14.02
11,11.14,11.14.03
11,11.14,11.14.04
11,11.14,11.14.05
11,11.14,11.14.06
11,11.14,11.14.07
11,11.14,11.14.08
11,11.14,11.14.09
11,11.15,11.15.01
11,11.15,11.15.02
11,11.15,11.15.03
11,11.15,11.15.04
11,11.15,11.15.05
11,11.15,11.15.06
11,11.15,11.15.07
11,11.15,11.15.08
11,11.15,11.15.09
11,11.15,11.15.10
11,11.16,11.16.01
11,11.16,11.16.02
11,11.16,11.16.03
11,11.16,11.16.04
11,11.16,11.16.05
11,11.16,11.16.06
11,11.16,11.16.07
11,11.16,11.16.08
11,11.16,11.16.09
11,11.16,11.16.10
11,11.16,11.16.11
11,11.16,11.16.12
11,11.17,11.17.01
11,11.17,11.17.02
11,11.17,11.17.03
11,11.17,11.17.04
11,11.17,11.17.05
11,11.17,11.17.06
11,11.17,11.17.07
11,11.17,11.17.08
11,11.17,11.17.09
11,11.17,11.17.10
11,11.18,11.18.01
11,11.18,11.18.02
11,11.18,11.18.03
11,11.18,11.18.04
11,11.18,11.18.05
11,11.18,11.18.06
11,11.18,11.18.07
11,11.18,11.18.08
11,11.71,11.71.01
11,11.71,11.71.02
11,11.71,11.71.03
11,11.71,11.71.04
11,11.71,11.71.05
11,11.71,11.71.06
11,11.71,11.71.07
11,11.71,11.71.08
11,11.71,11.71.09
11,11.72,11.72.01
11,11.72,11.72.02
11,11.73,11.73.01
11,11.73,11.73.02
11,11.73,11.73.03
11,11.73,11.73.04
11,11.74,11.74.01
11,11.74,11.74.02
11,11.74,11.74.03
11,11.74,11.74.04
11,11.74,11.74.05
11,11.75,11.75.01
11,11.75,11.75.02
11,11.75,11.75.03
11,11.75,11.75.04
11,11.75,11.75.05
12,12.01,12.01.01
12,12.01,12.01.02
12,12.01,12.01.03
12,12.01,12.01.04
12,12.01,12.01.05
12,12.01,12.01.06
12,12.01,12.01.07
12,12.01,12.01.08
12,12.01,12.01.09
12,12.01,12.01.10
12,12.01,12.01.11
12,12.01,12.01.12
12,12.01,12.01.13
12,12.01,12.01.14
12,12.01,12.01.15
12,12.01,12.01.16
12,12.01,12.01.17
12,12.01,12.01.18
12,12.01,12.01.19
12,12.01,12.01.20
12,12.02,12.02.01
12,12.02,12.02.02
12,12.02,12.02.03
12,12.02,12.02.04
12,12.02,12.02.05
12,12.02,12.02.06
12,12.02,12.02.07
12,12.02,12.02.08
12,12.02,12.02.09
12,12.02,12.02.10
12,12.02,12.02.11
12,12.02,12.02.12
12,12.02,12.02.13
12,12.02,12.02.14
12,12.02,12.02.15
12,12.03,12.03.01
12,12.03,12.03.02
12,12.03,12.03.03
12,12.03,12.03.04
12,12.03,12.03.05
12,12.03,12.03.06
12,12.03,12.03.07
12,12.03,12.03.14
12,12.03,12.03.20
12,12.03,12.03.21
12,12.03,12.03.22
12,12.03,12.03.29
12,12.03,12.03.30
12,12.03,12.03.31
12,12.03,12.03.32
12,12.04,12.04.05
12,12.04,12.04.06
12,12.04,12.04.10
12,12.04,12.04.11
12,12.04,12.04.20
12,12.04,12.04.21
12,12.04,12.04.27
12,12.04,12.04.28
12,12.04,12.04.29
12,12.04,12.04.35
12,12.05,12.05.01
12,12.05,12.05.02
12,12.05,12.05.03
12,12.05,12.05.04
12,12.05,12.05.05
12,12.05,12.05.06
12,12.05,12.05.07
12,12.05,12.05.08
12,12.05,12.05.09
12,12.05,12.05.10
12,12.05,12.05.11
12,12.05,12.05.12
12,12.05,12.05.13
12,12.05,12.05.14
12,12.05,12.05.15
12,12.05,12.05.16
12,12.05,12.05.17
12,12.05,12.05.18
12,12.05,12.05.19
12,12.05,12.05.20
12,12.05,12.05.21
12,12.05,12.05.22
12,12.05,12.05.23
12,12.06,12.06.01
12,12.06,12.06.02
12,12.06,12.06.03
12,12.06,12.06.04
12,12.06,12.06.05
12,12.06,12.06.06
12,12.06,12.06.07
12,12.06,12.06.08
12,12.06,12.06.09
12,12.06,12.06.10
12,12.06,12.06.11
12,12.06,12.06.12
12,12.06,12.06.13
12,12.06,12.06.14
12,12.06,12.06.15
12,12.06,12.06.16
12,12.06,12.06.17
12,12.07,12.07.01
12,12.07,12.07.02
12,12.07,12.07.03
12,12.07,12.07.04
12,12.07,12.07.05
12,12.07,12.07.06
12,12.07,12.07.07
12,12.07,12.07.08
12,12.07,12.07.09
12,12.07,12.07.19
12,12.07,12.07.20
12,12.07,12.07.21
12,12.07,12.07.22
12,12.07,12.07.23
12,12.07,12.07.24
12,12.07,12.07.25
12,12.07,12.07.26
12,12.07,12.07.27
12,12.07,12.07.28
12,12.07,12.07.31
12,12.07,12.07.32
12,12.07,12.07.33
12,12.08,12.08.01
12,12.08,12.08.02
12,12.08,12.08.03
12,12.08,12.08.04
12,12.08,12.08.05
12,12.08,12.08.06
12,12.08,12.08.07
12,12.08,12.08.08
12,12.08,12.08.09
12,12.08,12.08.10
12,12.08,12.08.11
12,12.08,12.08.12
12,12.08,12.08.13
12,12.08,12.08.14
12,12.08,12.08.15
12,12.08,12.08.16
12,12.08,12.08.17
12,12.08,12.08.18
12,12.08,12.08.19
12,12.08,12.08.20
12,12.08,12.08.21
12,12.08,12.08.22
12,12.08,12.08.23
12,12.08,12.08.24
12,12.08,12.08.25
12,12.08,12.08.26
12,12.08,12.08.27
12,12.08,12.08.28
12,12.08,12.08.29
12,12.08,12.08.30
12,12.08,12.08.31
12,12.08,12.08.32
12,12.09,12.09.08
12,12.09,12.09.09
12,12.09,12.09.10
12,12.09,12.09.11
12,12.09,12.09.12
12,12.09,12.09.13
12,12.09,12.09.14
12,12.09,12.09.15
12,12.09,12.09.16
12,12.09,12.09.17
12,12.09,12.09.18
12,12.09,12.09.19
12,12.09,12.09.20
12,12.09,12.09.21
12,12.09,12.09.22
12,12.09,12.09.23
12,12.09,12.09.24
12,12.09,12.09.25
12,12.09,12.09.26
12,12.09,12.09.27
12,12.09,12.09.28
12,12.09,12.09.29
12,12.09,12.09.30
12,12.09,12.09.31
12,12.09,12.09.32
12,12.10,12.10.01
12,12.10,12.10.02
12,12.10,12.10.07
12,12.10,12.10.08
12,12.10,12.10.09
12,12.10,12.10.14
12,12.10,12.10.18
12,12.10,12.10.19
12,12.10,12.10.20
12,12.11,12.11.01
12,12.11,12.11.02
12,12.11,12.11.03
12,12.11,12.11.04
12,12.11,12.11.05
12,12.11,12.11.06
12,12.11,12.11.07
12,12.11,12.11.08
12,12.11,12.11.09
12,12.11,12.11.10
12,12.11,12.11.11
12,12.11,12.11.12
12,12.11,12.11.13
12,12.11,12.11.14
12,12.11,12.11.15
12,12.12,12.12.01
12,12.12,12.12.02
12,12.12,12.12.03
12,12.12,12.12.04
12,12.12,12.12.05
12,12.12,12.12.06
12,12.12,12.12.07
12,12.12,12.12.08
12,12.12,12.12.09
12,12.12,12.12.10
12,12.12,12.12.19
12,12.12,12.12.20
12,12.12,12.12.21
12,12.12,12.12.22
12,12.12,12.12.23
12,12.12,12.12.24
12,12.13,12.13.01
12,12.13,12.13.02
12,12.13,12.13.03
12,12.13,12.13.04
12,12.13,12.13.05
12,12.13,12.13.06
12,12.13,12.13.07
12,12.13,12.13.08
12,12.13,12.13.09
12,12.13,12.13.10
12,12.13,12.13.11
12,12.13,12.13.12
12,12.13,12.13.13
12,12.13,12.13.14
12,12.13,12.13.15
12,12.13,12.13.16
12,12.13,12.13.17
12,12.13,12.13.18
12,12.13,12.13.19
12,12.13,12.13.20
12,12.13,12.13.21
12,12.13,12.13.22
12,12.13,12.13.23
12,12.14,12.14.01
12,12.14,12.14.02
12,12.14,12.14.03
12,12.14,12.14.04
12,12.14,12.14.05
12,12.14,12.14.06
12,12.14,12.14.07
12,12.14,12.14.08
12,12.14,12.14.09
12,12.14,12.14.10
12,12.14,12.14.11
12,12.14,12.14.12
12,12.14,12.14.13
12,12.14,12.14.14
12,12.14,12.14.15
12,12.14,12.14.16
12,12.14,12.14.17
12,12.14,12.14.18
12,12.14,12.14.19
12,12.14,12.14.20
12,12.14,12.14.21
12,12.14,12.14.22
12,12.14,12.14.23
12,12.14,12.14.24
12,12.14,12.14.25
12,12.14,12.14.26
12,12.14,12.14.27
12,12.14,12.14.28
12,12.14,12.14.29
12,12.14,12.14.30
12,12.14,12.14.31
12,12.14,12.14.32
12,12.14,12.14.33
12,12.14,12.14.34
12,12.14,12.14.35
12,12.15,12.15.01
12,12.15,12.15.02
12,12.15,12.15.03
12,12.15,12.15.04
12,12.15,12.15.05
12,12.15,12.15.06
12,12.15,12.15.07
12,12.15,12.15.08
12,12.16,12.16.01
12,12.16,12.16.02
12,12.16,12.16.03
12,12.16,12.16.04
12,12.16,12.16.05
12,12.16,12.16.06
12,12.16,12.16.07
12,12.16,12.16.08
12,12.16,12.16.09
12,12.16,12.16.10
12,12.17,12.17.01
12,12.17,12.17.02
12,12.17,12.17.03
12,12.17,12.17.04
12,12.17,12.17.05
12,12.17,12.17.06
12,12.17,12.17.07
12,12.17,12.17.08
12,12.17,12.17.09
12,12.18,12.18.01
12,12.18,12.18.02
12,12.18,12.18.03
12,12.18,12.18.04
12,12.18,12.18.05
